id,date,store_nbr,item_nbr,unit_sales,onpromotion
36009,2013-01-02,47,129635,53.0,
76330,2013-01-03,47,129635,19.0,
116251,2013-01-04,47,129635,21.0,
158470,2013-01-05,47,129635,32.0,
200380,2013-01-06,47,129635,30.0,
240123,2013-01-07,47,129635,21.0,
279362,2013-01-08,47,129635,16.0,
318308,2013-01-09,47,129635,26.0,
356788,2013-01-10,47,129635,16.0,
395837,2013-01-11,47,129635,23.0,
437670,2013-01-12,47,129635,20.0,
479723,2013-01-13,47,129635,34.0,
519620,2013-01-14,47,129635,13.0,
559235,2013-01-15,47,129635,18.0,
599135,2013-01-16,47,129635,19.0,
638534,2013-01-17,47,129635,9.0,
678135,2013-01-18,47,129635,22.0,
721123,2013-01-19,47,129635,25.0,
763563,2013-01-20,47,129635,31.0,
804076,2013-01-21,47,129635,23.0,
843653,2013-01-22,47,129635,18.0,
882939,2013-01-23,47,129635,14.0,
921698,2013-01-24,47,129635,20.0,
961359,2013-01-25,47,129635,20.0,
1004137,2013-01-26,47,129635,30.0,
1046363,2013-01-27,47,129635,22.0,
1086652,2013-01-28,47,129635,21.0,
1126173,2013-01-29,47,129635,18.0,
1165903,2013-01-30,47,129635,10.0,
1205958,2013-01-31,47,129635,14.0,
1248000,2013-02-01,47,129635,23.0,
1292895,2013-02-02,47,129635,37.0,
1336489,2013-02-03,47,129635,28.0,
1378345,2013-02-04,47,129635,22.0,
1419545,2013-02-05,47,129635,21.0,
1460491,2013-02-06,47,129635,24.0,
1501063,2013-02-07,47,129635,12.0,
1542524,2013-02-08,47,129635,12.0,
1586146,2013-02-09,47,129635,25.0,
1626055,2013-02-10,47,129635,22.0,
1664766,2013-02-11,47,129635,11.0,
1704453,2013-02-12,47,129635,31.0,
1745913,2013-02-13,47,129635,21.0,
1786406,2013-02-14,47,129635,12.0,
1827474,2013-02-15,47,129635,18.0,
1871093,2013-02-16,47,129635,24.0,
1912838,2013-02-17,47,129635,37.0,
1954335,2013-02-18,47,129635,20.0,
1994954,2013-02-19,47,129635,21.0,
2035993,2013-02-20,47,129635,20.0,
2076191,2013-02-21,47,129635,17.0,
2116588,2013-02-22,47,129635,20.0,
2159859,2013-02-23,47,129635,30.0,
2202973,2013-02-24,47,129635,37.0,
2244402,2013-02-25,47,129635,15.0,
2284935,2013-02-26,47,129635,3.0,
2325374,2013-02-27,47,129635,17.0,
2366220,2013-02-28,47,129635,10.0,
2409120,2013-03-01,47,129635,18.0,
2454718,2013-03-02,47,129635,25.0,
2499271,2013-03-03,47,129635,32.0,
2542343,2013-03-04,47,129635,13.0,
2584258,2013-03-05,47,129635,19.0,
2626112,2013-03-06,47,129635,21.0,
2667274,2013-03-07,47,129635,15.0,
2708289,2013-03-08,47,129635,7.0,
2752345,2013-03-09,47,129635,24.0,
2795837,2013-03-10,47,129635,27.0,
2837528,2013-03-11,47,129635,15.0,
2877838,2013-03-12,47,129635,12.0,
2918263,2013-03-13,47,129635,11.0,
2958047,2013-03-14,47,129635,15.0,
2999298,2013-03-15,47,129635,21.0,
3044527,2013-03-16,47,129635,20.0,
3089617,2013-03-17,47,129635,22.0,
3132384,2013-03-18,47,129635,6.0,
3174390,2013-03-19,47,129635,7.0,
3216709,2013-03-20,47,129635,24.0,
3257973,2013-03-21,47,129635,18.0,
3299766,2013-03-22,47,129635,20.0,
3344767,2013-03-23,47,129635,28.0,
3388885,2013-03-24,47,129635,33.0,
3431246,2013-03-25,47,129635,17.0,
3472463,2013-03-26,47,129635,18.0,
3513883,2013-03-27,47,129635,31.0,
3556712,2013-03-28,47,129635,32.0,
3598939,2013-03-29,47,129635,29.0,
3643799,2013-03-30,47,129635,29.0,
3687540,2013-03-31,47,129635,32.0,
3731767,2013-04-01,47,129635,4.0,
3775185,2013-04-02,47,129635,33.0,
3818313,2013-04-03,47,129635,23.0,
3860505,2013-04-04,47,129635,10.0,
3902855,2013-04-05,47,129635,14.0,
3948380,2013-04-06,47,129635,40.0,
3993035,2013-04-07,47,129635,17.0,
4035847,2013-04-08,47,129635,7.0,
4077457,2013-04-09,47,129635,12.0,
4119153,2013-04-10,47,129635,14.0,
4160576,2013-04-11,47,129635,21.0,
4202680,2013-04-12,47,129635,20.0,
4247559,2013-04-13,47,129635,29.0,
4291800,2013-04-14,47,129635,28.0,
4334644,2013-04-15,47,129635,17.0,
4377117,2013-04-16,47,129635,22.0,
4419330,2013-04-17,47,129635,14.0,
4460286,2013-04-18,47,129635,16.0,
4501923,2013-04-19,47,129635,20.0,
4546617,2013-04-20,47,129635,21.0,
4590887,2013-04-21,47,129635,39.0,
4633384,2013-04-22,47,129635,27.0,
4675103,2013-04-23,47,129635,18.0,
4716614,2013-04-24,47,129635,17.0,
4757362,2013-04-25,47,129635,15.0,
4798718,2013-04-26,47,129635,13.0,
4843476,2013-04-27,47,129635,27.0,
4887712,2013-04-28,47,129635,34.0,
4930170,2013-04-29,47,129635,18.0,
4972295,2013-04-30,47,129635,18.0,
5017175,2013-05-01,47,129635,36.0,
5060531,2013-05-02,47,129635,14.0,
5103615,2013-05-03,47,129635,20.0,
5149679,2013-05-04,47,129635,37.0,
5195400,2013-05-05,47,129635,30.0,
5238731,2013-05-06,47,129635,27.0,
5280918,2013-05-07,47,129635,12.0,
5322973,2013-05-08,47,129635,10.0,
5365708,2013-05-09,47,129635,16.0,
5408870,2013-05-10,47,129635,16.0,
5455808,2013-05-11,47,129635,39.0,
5500173,2013-05-12,47,129635,13.0,
5543794,2013-05-13,47,129635,17.0,
